Name,PlateID_Wilson2005,Description,Location ,Latitude,Longitude,WM_Age,WM_2s_abs,MSWD,n,eHf_mean,Legacy_Age_1,Legacy_Age_1_2s,Legacy_type,LegAge1_type_and_Citation,Other_Age,Other_Age_2s,Other_type,Other_Age_Type_and_Citation,N_order,
TU1,35,Rhyolite tuff,Tunis Creek Unnamed ,34.948417,-118.828167,22.34,0.45,1.1,7,1.68,23,1,o,"Whole_rock_Ar/Ar; Plescia et al,, 1994",,,,,13,
GR1,15,Pummice lapilli tuff,Gabilan Range Unnamed,36.815278,-121.575861,22.52,0.45,1.8,9,1.61,21.3,1.3,s,"Groundmass_K/Ar, Weigand and Thomas, 1990",,,,,14,
TE1,35,Dacite Breccia,Tecuya Formation,34.924222,-118.980194,,,,,-1000,22.4,1.4,s,"Bio_K/Ar, Turner 1968, from Stanley et al., 2000",,,,,15,
PV4,15,Dacite breccia,Pinnacles Volcanics,36.483694,-121.187222,23.5,0.47,0.85,18,8.73,22.82,0.32,o,"Pl_Ar/Ar_Pre-FCT, Weigand and Swisher, 1991",,,,,16,
PV1 ,15,Rhyolite Breccia,Pinnacles Volcanics,36.48525,-121.192667,24.14,0.48,1.47,21,3.92,23.24,0.12,o,"Wholerock_Ar/Ar_Pre-FCT, Weigand and Swisher, 1991",,,,,16.4,
PV6,15,Pummice lapilli tuff,Pinnacles Volcanics,36.498861,-121.176917,24.16,0.48,1.09,38/40,3.11,24.1,1.4,s,"Pl_K/Ar, Turner, 1968, from Stanley et al., 2000",,,,,16.8,
PV3,15,Rhyolite Breccia,Pinnacles Volcanics,36.484917,-121.191028,,,,,-1000,24.5,2.4,s,"Wholerock_K/Ar, Turner, 1968, from Stanley et al., 2000",,,,,17,
PV5,15,Felsic tuff,Pinnacles Volcanics,36.483389,-121.184222,,,,,-1000,24.3,1.4,s,"Wholerock_K/Ar, Turner, 1968, from Stanley et al., 2000",,,,,17.2,
NV1,35,Flow banded rhyolite,Neenach Volcanics,34.741389,-118.600056,24.27,0.49,0.9,28,3.64,23.55,0.5,o,"Pl_Ar/Ar_Pre-FCT, Weigand and Swisher, 1991",,,,,18,
WR1_35,35,Rhyolite tuff/felsite,Wagon Road Unnamed,34.710417,-119.194778,24.32,0.49,1.71,10,-1000,25.1,0.2,o,"San_Ar/Ar; Fleck+Stanley unpub; from Stanley et al., 2000",,,,,19,
WR1_33,32,Rhyolite tuff/felsite,Wagon Road Unnamed,34.710417,-119.194778,24.32,0.49,1.71,10,-1000,25.1,0.2,o,"San_Ar/Ar; Fleck+Stanley unpub; from Stanley et al., 2000",,,,,19,
LC3,12,Flow banded rhyolite,Lang Canyon Unnamed,35.920806,-120.498889,24.49,0.49,0.83,38,3.64,23.8,1.4,s,"Whole_rock_K/Ar, Turner, cited by Sims, 1993. ",,,,,20,
VF1,33,Dacite,Vasquez Formation,34.48925,-118.340611,,,,,-1000,23.6,0.8,s,"Whole_rock_K/Ar, Frizzell and Weigand, 1993",,,,,21,
YM1,20,White tuff/felsite,York Mountain Unnamed,35.499278,-120.839528,25.38,0.51,0.705,56,1.8,25,2.5,^,"Strat relationships; Stanley et al., 1996",,,,,22,
BP1 ,20,Dacite plug,Bishops Peak MR-IH,35.302417,-120.697722,26.38,0.53,1.03,33,3.81,25.6,2.4,s,"Pl_K/Ar, Turner, 1968, from Stanley et al., 2000",,,,,23,
HP2,20,Felsite,Hollister Peak MR-IH,35.335531,-120.787119,26.43,0.53,1.01,38,4.5,24.1,3.6,s,"Pl_K/Ar, Hall et al., 1966, from Stanley et al., 2000",,,,,23.4,
CF2,20,Felsite,Cambria Felsite MR-IH,35.575186,-121.073342,26.98,0.54,1.14,53,2.81,26.75,0.5,o,"San_Ar/Ar; Cole and Stanley, 1998",,,,,23.8,
MM2,41,Dacite,Mountain Meadows Dacite,34.08925,-117.784056,,,,,-1000,27.3,0.2,o,"Bio_Ar/Ar; Stanley et al., 2000",,,,,25,
